name,brand,categories,reviews.rating
Kindle Paperwhite,Amazon,"Amazon Devices,mazon.co.uk",5.0
Kindle Paperwhite,Amazon,"Amazon Devices,mazon.co.uk",4.0
Kindle Keyboard,Amazon,"Kindle Store,Amazon Devices,Electronics",4.0
Kindle Keyboard,Amazon,"Kindle Store,Amazon Devices,Electronics",5.0
Kindle Keyboard,Amazon,"Kindle Store,Amazon Devices,Electronics",3.0
Certified Refurbished Amazon Fire TV (Previous Generation - 1st),Amazon,"Categories,Amazon Devices,Streaming Media Players",4.0
Certified Refurbished Amazon Fire TV (Previous Generation - 1st),Amazon,"Categories,Amazon Devices,Streaming Media Players",5.0
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,Amazon,Amazon Devices,5.0
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,Amazon,Amazon Devices,4.0
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,Amazon,Amazon Devices,3.0
Amazon Tap Sling Cover - Tangerine,Amazon,Amazon Devices,4.0
Amazon Tap Sling Cover - Tangerine,Amazon,Amazon Devices,5.0
"Kindle Fire HDX 8.9""",Amazon,Amazon Devices,3.0
"Kindle Fire HDX 8.9""",Amazon,Amazon Devices,4.0
"Kindle Fire HDX 8.9""",Amazon,Amazon Devices,1.0
"Kindle Fire HDX 8.9""",Amazon,Amazon Devices,5.0
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,Amazon,Amazon Devices,5.0
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,Amazon,Amazon Devices,4.0
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,Amazon,Amazon Devices,3.0
Amazon Tap Sling Cover - Blue,Amazon,Amazon Devices,4.0
Amazon Tap Sling Cover - Blue,Amazon,Amazon Devices,5.0
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Sandstone Fabric,Amazon,Amazon Devices,5.0
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Sandstone Fabric,Amazon,Amazon Devices,4.0
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Sandstone Fabric,Amazon,Amazon Devices,3.0
All-New Amazon Fire TV Game Controller,Amazon,Amazon Devices,2.0
All-New Amazon Fire TV Game Controller,Amazon,Amazon Devices,3.0
All-New Amazon Fire TV Game Controller,Amazon,Amazon Devices,5.0
All-New Amazon Fire TV Game Controller,Amazon,Amazon Devices,4.0
Fire HD 7 Tablet,Amazon,Amazon Devices,5.0
Amazon Fire TV Game Controller,Amazon,Amazon Devices,2.0
Amazon Fire TV Game Controller,Amazon,Amazon Devices,3.0
Amazon Fire TV Game Controller,Amazon,Amazon Devices,5.0
Amazon Fire TV Game Controller,Amazon,Amazon Devices,1.0
Amazon Fire TV Game Controller,Amazon,Amazon Devices,4.0
Amazon Tap Sling Cover - White,Amazon,Amazon Devices,4.0
Amazon Tap Sling Cover - White,Amazon,Amazon Devices,5.0
Amazon Tap Sling Cover - Magenta,Amazon,Amazon Devices,4.0
Amazon Tap Sling Cover - Magenta,Amazon,Amazon Devices,5.0
Certified Refurbished Kindle E-reader,Amazon,Amazon Devices,5.0
Certified Refurbished Kindle E-reader,Amazon,Amazon Devices,4.0
